Quality;Description
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'JonasLössl==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'JonasLössl==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'ChristopherSchindler==1']
(1.2099898063200816, '4-2-3-1', 0.3211009174311927, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1']
(1.1793682990437553, '4-4-2', 0.4482758620689655, '5-4-1', -0.7310924369747899);['AndyKing==1', 'JordanAyew==1', 'AlfieMawson==1', 'ŁukaszFabiański==1']
(1.1793682990437553, '4-4-2', 0.4482758620689655, '5-4-1', -0.7310924369747899);['AndyKing==1', 'JordanAyew==1', 'AlfieMawson==1']
(1.1793682990437553, '4-4-2', 0.4482758620689655, '5-4-1', -0.7310924369747899);['AndyKing==1', 'JordanAyew==1', 'ŁukaszFabiański==1']
(1.1793682990437553, '4-4-2', 0.4482758620689655, '5-4-1', -0.7310924369747899);['AndyKing==1', 'JordanAyew==1']
(1.1740294511378848, '4-2-3-1', 0.285140562248996, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1']
(1.1740294511378848, '4-2-3-1', 0.285140562248996, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'MathiasJattahNjieJørgensen==1']
(1.1740294511378848, '4-2-3-1', 0.285140562248996, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'JonasLössl==1', 'ChristopherSchindler==1']
(1.1740294511378848, '4-2-3-1', 0.285140562248996, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1', 'ChristopherSchindler==1']
(1.1740294511378848, '4-2-3-1', 0.285140562248996, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'JonasLössl==1']
(1.1740294511378848, '4-2-3-1', 0.285140562248996, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'MathiasJattahNjieJørgensen==1']
(1.1740294511378848, '4-2-3-1', 0.285140562248996, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'ChristopherSchindler==1']
(1.1740294511378848, '4-2-3-1', 0.285140562248996, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1']
(1.1250435388366422, '4-4-2', 0.4482758620689655, '5-4-1', -0.6767676767676768);['AndyKing==1', 'JordanAyew==1', 'AlfieMawson==1', 'ŁukaszFabiański==1', 'AndréAyewPelé==1']
(1.1250435388366422, '4-4-2', 0.4482758620689655, '5-4-1', -0.6767676767676768);['AndyKing==1', 'JordanAyew==1', 'AlfieMawson==1', 'AndréAyewPelé==1']
(1.1250435388366422, '4-4-2', 0.4482758620689655, '5-4-1', -0.6767676767676768);['AndyKing==1', 'JordanAyew==1', 'ŁukaszFabiański==1', 'AndréAyewPelé==1']
(1.1250435388366422, '4-4-2', 0.4482758620689655, '5-4-1', -0.6767676767676768);['AndyKing==1', 'JordanAyew==1', 'AndréAyewPelé==1']
(1.1023391812865497, '4-4-2', 0.5, '5-4-1', -0.6023391812865497);['AndyKing==1']
(1.0817100935997974, '4-4-2', 0.5223880597014925, '5-4-1', -0.559322033898305);['AndréAyewPelé==1', 'JordanAyew==1', 'AlfieMawson==1', 'ŁukaszFabiański==1']
(1.0817100935997974, '4-4-2', 0.5223880597014925, '5-4-1', -0.559322033898305);['AndréAyewPelé==1', 'JordanAyew==1', 'AlfieMawson==1']
(1.0817100935997974, '4-4-2', 0.5223880597014925, '5-4-1', -0.559322033898305);['AndréAyewPelé==1', 'JordanAyew==1', 'ŁukaszFabiański==1']
(1.0817100935997974, '4-4-2', 0.5223880597014925, '5-4-1', -0.559322033898305);['AndréAyewPelé==1', 'JordanAyew==1']
(1.078971533516988, '4-2-3-1', 0.19008264462809918, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'JonasLössl==1', 'JonathanHogg==1']
(1.078971533516988, '4-2-3-1', 0.19008264462809918, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'MathiasJattahNjieJørgensen==1', 'JonathanHogg==1']
(1.078971533516988, '4-2-3-1', 0.19008264462809918, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'ChristopherSchindler==1', 'JonathanHogg==1']
(1.078971533516988, '4-2-3-1', 0.19008264462809918, '5-3-2', -0.8888888888888888);['TomSmith==1', 'LaurentDepoitre==1', 'AaronMooy==1', 'JonathanHogg==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'JordanAyew==1', 'AlfieMawson==1', 'TomCarroll==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'JordanAyew==1', 'AlfieMawson==1', 'ŁukaszFabiański==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'JordanAyew==1', 'TomCarroll==1', 'ŁukaszFabiański==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'AlfieMawson==1', 'TomCarroll==1', 'ŁukaszFabiański==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'JordanAyew==1', 'AlfieMawson==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'JordanAyew==1', 'TomCarroll==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'JordanAyew==1', 'ŁukaszFabiański==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'AlfieMawson==1', 'TomCarroll==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'AlfieMawson==1', 'ŁukaszFabiański==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'TomCarroll==1', 'ŁukaszFabiański==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'JordanAyew==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'AlfieMawson==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'TomCarroll==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1', 'ŁukaszFabiański==1']
(1.0601851851851851, '4-4-2', 0.5185185185185185, '3-5-2', -0.5416666666666666);['MikevanderHoorn==1']
(1.0506150433555153, '4-4-2', 0.4482758620689655, '5-4-1', -0.6023391812865497);['AndyKing==1', 'AlfieMawson==1', 'ŁukaszFabiański==1']
(1.0506150433555153, '4-4-2', 0.4482758620689655, '5-4-1', -0.6023391812865497);['AndyKing==1', 'AlfieMawson==1']
(1.0506150433555153, '4-4-2', 0.4482758620689655, '5-4-1', -0.6023391812865497);['AndyKing==1', 'ŁukaszFabiański==1']
(1.04921968787515, '3-4-2-1', 0.29411764705882354, '5-4-1', -0.7551020408163265);['AndyKing==1', 'JordanAyew==1', 'AlfieMawson==1', 'ŁukaszFabiański==1', 'SamClucas==1']
(1.04921968787515, '3-4-2-1', 0.29411764705882354, '5-4-1', -0.7551020408163265);['AndyKing==1', 'JordanAyew==1', 'AlfieMawson==1', 'SamClucas==1']
(1.04921968787515, '3-4-2-1', 0.29411764705882354, '5-4-1', -0.7551020408163265);['AndyKing==1', 'JordanAyew==1', 'ŁukaszFabiański==1', 'SamClucas==1']
